"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2021","35,529.4","36,844.7","37,784.8","34,954.3","0.23K","-3.57%"
"06/04/2021","36,844.7","39,225.9","39,225.9","36,623.8","0.62K","-6.07%"
"06/03/2021","39,225.9","37,569.6","39,225.9","37,551.1","0.63K","4.41%"
"06/02/2021","37,569.6","36,682.9","37,967.7","36,241.5","0.50K","2.42%"
"06/01/2021","36,682.9","37,278.4","37,296.2","35,822.7","0.15K","-1.60%"
"05/31/2021","37,278.4","35,644.3","37,278.4","34,221.7","0.09K","4.58%"
"05/30/2021","35,644.3","34,575.9","36,213.6","34,474.1","0.06K","3.09%"
"05/29/2021","34,575.9","35,673.8","36,908.9","34,038.7","0.09K","-3.08%"
"05/28/2021","35,673.8","38,473.7","38,473.7","35,387.5","0.14K","-7.28%"
"05/27/2021","38,473.7","39,173.1","39,986.6","37,250.0","0.11K","-1.79%"
"05/26/2021","39,173.1","38,373.7","40,370.2","38,000.5","0.13K","2.08%"
"05/25/2021","38,373.7","38,765.7","39,200.0","37,317.0","0.12K","-1.01%"
"05/24/2021","38,765.7","34,671.9","38,765.7","34,671.9","0.15K","11.81%"
"05/23/2021","34,671.9","37,498.8","37,979.6","32,552.9","0.26K","-7.54%"
"05/22/2021","37,498.8","37,245.7","38,247.4","36,199.4","0.11K","0.70%"
"05/21/2021","37,239.0","40,497.7","41,268.0","36,380.9","0.25K","-8.05%"
"05/20/2021","40,497.7","36,699.0","41,612.7","35,537.3","0.15K","10.48%"
"05/19/2021","36,655.3","42,865.8","42,865.8","36,655.3","0.47K","-14.49%"
"05/18/2021","42,865.8","43,532.2","45,437.6","42,865.8","0.09K","-1.53%"
"05/17/2021","43,532.2","46,409.8","46,409.8","42,953.1","0.13K","-6.20%"
"05/16/2021","46,409.8","46,691.8","49,327.2","45,146.4","0.08K","-0.60%"
"05/15/2021","46,691.8","49,844.5","49,844.5","46,691.8","0.06K","-6.33%"
"05/14/2021","49,844.5","49,635.4","51,368.5","49,462.9","0.05K","0.42%"
"05/13/2021","49,635.4","49,809.6","51,139.3","48,200.0","0.11K","-0.35%"
"05/12/2021","49,809.6","56,691.9","57,814.7","49,809.6","0.10K","-12.14%"
"05/11/2021","56,691.9","55,791.7","56,691.9","54,999.2","0.05K","1.61%"
"05/10/2021","55,791.7","58,231.6","58,959.7","55,452.8","0.07K","-4.19%"
"05/09/2021","58,231.6","58,834.3","59,043.6","57,341.1","0.06K","-1.02%"
"05/08/2021","58,834.3","57,355.7","59,024.8","57,355.7","0.08K","2.58%"
"05/07/2021","57,355.7","56,378.6","58,177.0","55,595.3","0.06K","1.73%"
"05/06/2021","56,378.6","57,427.1","57,600.0","55,400.0","0.08K","-1.83%"
"05/05/2021","57,427.1","53,036.3","57,427.1","53,036.3","0.07K","7.70%"
"05/04/2021","53,319.4","57,148.0","57,148.0","53,319.4","0.08K","-6.70%"
"05/03/2021","57,148.0","56,607.3","58,448.5","56,607.3","0.09K","0.96%"
